,root_mean_squared1,root_mean_squared2,root_mean_squared3,root_mean_squared4,iemg1,iemg2,iemg3,iemg4,mean_absolute_value1,mean_absolute_value2,mean_absolute_value3,mean_absolute_value4,variance1,variance2,variance3,variance4,wave_form_length1,wave_form_length2,wave_form_length3,wave_form_length4,mean1,mean2,mean3,mean4,median1,median2,median3,median4,skewness1,skewness2,skewness3,skewness4,kurt1,kurt2,kurt3,kurt4,label
117,3416.5393,3414.7588,3404.6726,3441.2302,198159.0,198056.0,197471.0,199591.0,3416.5344,3414.7585,3404.6724,3441.224,32.421227,1.4934603,1.5995837,41.89804,41.0,48.0,44.0,50.0,3416.5344,3414.7585,3404.6724,3441.224,3418.0,3415.0,3404.0,3440.5,-0.38317513,-0.4386994,0.78601414,-0.06875901,-1.0326674,0.4526527,0.095954895,-1.3105375,1
118,3414.173,3390.8967,3410.4487,3413.4668,198022.0,196672.0,197806.0,197981.0,3414.1724,3390.8965,3410.4482,3413.4656,5.763377,0.74791914,5.212842,8.766053,46.0,39.0,49.0,55.0,3414.1724,3390.8965,3410.4482,3413.4656,3413.0,3391.0,3410.0,3414.0,0.9780122,-0.5988064,0.33637995,-0.06708875,-0.07289195,-0.1673634,-0.9297707,-1.1159462,2
119,3389.0,3409.3972,3413.0173,3407.4658,196562.0,197745.0,197955.0,197633.0,3389.0,3409.3965,3413.0173,3407.4656,0.79310346,3.4117122,0.94797856,1.3522592,49.0,49.0,51.0,35.0,3389.0,3409.3965,3413.0173,3407.4656,3389.0,3409.0,3413.0,3407.5,-0.43938956,0.57459754,-0.14681467,0.017565519,-0.7523632,0.3918395,-0.324651,-0.102672815,0
120,3406.329,3409.207,3403.8452,3407.3457,197566.0,197734.0,197423.0,197626.0,3406.3103,3409.2068,3403.8447,3407.3447,127.62783,0.8192628,2.6828182,7.1569552,54.0,46.0,31.0,53.0,3406.3103,3409.2068,3403.8447,3407.3447,3403.0,3409.0,3403.0,3408.0,0.2639736,0.27920598,0.8855571,-0.34369022,-1.5067028,-0.7453978,-0.30118084,-0.86208224,1
121,3426.0864,3399.242,3406.519,3409.9316,198713.0,197156.0,197578.0,197776.0,3426.0862,3399.2415,3406.5173,3409.9312,1.975327,2.079667,12.732462,0.9262783,53.0,58.0,50.0,67.0,3426.0862,3399.2415,3406.5173,3409.9312,3426.0,3399.0,3407.0,3410.0,0.74114877,-0.21954378,-0.21940479,0.25365308,-0.15104222,-0.040100098,-1.0647714,-0.66731405,2
122,3386.328,3407.0518,3406.414,3411.1902,196407.0,197609.0,197572.0,197849.0,3386.3276,3407.0518,3406.4138,3411.1897,1.8409629,0.4628418,0.6908442,2.4985137,56.0,29.0,27.0,53.0,3386.3276,3407.0518,3406.4138,3411.1897,3386.0,3407.0,3407.0,3411.0,-0.15178546,-0.39293838,-0.53606594,0.49827442,-0.37305617,0.22367191,0.059154272,-0.6329601,0
123,3405.7083,3416.7944,3412.242,3409.3623,197531.0,198174.0,197910.0,197743.0,3405.7068,3416.7932,3412.2415,3409.362,9.138228,10.646851,4.0107017,1.506837,45.0,49.0,52.0,40.0,3405.7068,3416.7932,3412.2415,3409.362,3406.5,3418.0,3413.0,3409.0,-0.69985324,-0.52428776,-0.38491556,0.012290029,-0.5467677,-0.83232045,-0.35938478,-0.544626,1
124,3409.2764,3411.2595,3406.2932,3407.0518,197738.0,197853.0,197565.0,197609.0,3409.276,3411.2585,3406.2932,3407.0518,2.9928658,6.846908,0.758918,0.53180736,45.0,48.0,32.0,29.0,3409.276,3411.2585,3406.2932,3407.0518,3409.0,3412.0,3406.0,3407.0,1.0693089,-0.6640402,-0.9174286,0.72031915,0.45710945,-0.8039839,2.6016726,0.84974813,2
125,3382.9524,3414.899,3420.1663,3417.3464,196211.0,198064.0,198354.0,198206.0,3382.9482,3414.8965,3419.8965,3417.3447,28.428362,15.747921,1846.7135,11.812127,77.0,54.0,141.0,43.0,3382.9482,3414.8965,3419.8965,3417.3447,3383.0,3415.0,3413.5,3417.5,-0.19029723,0.35802653,0.21718358,-0.06663425,-0.75858235,-0.96266985,-1.2190417,-1.3333966,0
126,3378.2666,3414.7415,3418.035,3414.9836,195938.0,198055.0,198246.0,198069.0,3378.2415,3414.7415,3418.0344,3414.9827,171.32106,0.91587394,1.2057074,6.810048,65.0,53.0,44.0,54.0,3378.2415,3414.7415,3418.0344,3414.9827,3374.0,3415.0,3418.0,3415.0,0.617464,-0.52706444,0.0101024,-0.20806196,-0.98113894,0.858536,-0.6114261,-1.18599,1
